date,stock
20191230,000001.SZ
20191230,000002.SZ
20191230,000063.SZ
20191230,000069.SZ
20191230,000100.SZ
20191230,000157.SZ
20191230,000166.SZ
20191230,000333.SZ
20191230,000338.SZ
20191230,000413.SZ
20191230,000415.SZ
20191230,000423.SZ
20191230,000425.SZ
20191230,000538.SZ
20191230,000568.SZ
20191230,000596.SZ
20191230,000625.SZ
20191230,000627.SZ
20191230,000629.SZ
20191230,000630.SZ
20191230,000651.SZ
20191230,000656.SZ
20191230,000661.SZ
20191230,000671.SZ
20191230,000703.SZ
20191230,000709.SZ
20191230,000723.SZ
20191230,000725.SZ
20191230,000728.SZ
20191230,000768.SZ
20191230,000776.SZ
20191230,000783.SZ
20191230,000786.SZ
20191230,000858.SZ
20191230,000876.SZ
20191230,000895.SZ
20191230,000898.SZ
20191230,000938.SZ
20191230,000961.SZ
20191230,000963.SZ
20191230,001979.SZ
20191230,002001.SZ
20191230,002007.SZ
20191230,002008.SZ
20191230,002010.SZ
20191230,002024.SZ
20191230,002027.SZ
20191230,002032.SZ
20191230,002044.SZ
20191230,002050.SZ
20191230,002081.SZ
20191230,002120.SZ
20191230,002142.SZ
20191230,002146.SZ
20191230,002153.SZ
20191230,002179.SZ
20191230,002202.SZ
20191230,002230.SZ
20191230,002236.SZ
20191230,002241.SZ
20191230,002252.SZ
20191230,002271.SZ
20191230,002294.SZ
20191230,002304.SZ
20191230,002311.SZ
20191230,002352.SZ
20191230,002410.SZ
20191230,002411.SZ
20191230,002415.SZ
20191230,002422.SZ
20191230,002456.SZ
20191230,002460.SZ
20191230,002466.SZ
20191230,002468.SZ
20191230,002475.SZ
20191230,002493.SZ
20191230,002508.SZ
20191230,002555.SZ
20191230,002558.SZ
20191230,002594.SZ
20191230,002601.SZ
20191230,002602.SZ
20191230,002607.SZ
20191230,002624.SZ
20191230,002673.SZ
20191230,002714.SZ
20191230,002736.SZ
20191230,002739.SZ
20191230,002773.SZ
20191230,002841.SZ
20191230,002916.SZ
20191230,002938.SZ
20191230,002939.SZ
20191230,002945.SZ
20191230,002958.SZ
20191230,300003.SZ
20191230,300015.SZ
20191230,300017.SZ
20191230,300024.SZ
20191230,300033.SZ
20191230,300059.SZ
20191230,300070.SZ
20191230,300122.SZ
20191230,300124.SZ
20191230,300136.SZ
20191230,300142.SZ
20191230,300144.SZ
20191230,300347.SZ
20191230,300408.SZ
20191230,300413.SZ
20191230,300433.SZ
20191230,300498.SZ
20191230,600000.SH
20191230,600004.SH
20191230,600009.SH
20191230,600010.SH
20191230,600011.SH
20191230,600015.SH
20191230,600016.SH
20191230,600018.SH
20191230,600019.SH
20191230,600023.SH
20191230,600025.SH
20191230,600027.SH
20191230,600028.SH
20191230,600029.SH
20191230,600030.SH
20191230,600031.SH
20191230,600036.SH
20191230,600038.SH
20191230,600048.SH
20191230,600050.SH
20191230,600061.SH
20191230,600066.SH
20191230,600068.SH
20191230,600085.SH
20191230,600089.SH
20191230,600100.SH
20191230,600104.SH
20191230,600109.SH
20191230,600111.SH
20191230,600115.SH
20191230,600118.SH
20191230,600153.SH
20191230,600170.SH
20191230,600176.SH
20191230,600177.SH
20191230,600183.SH
20191230,600188.SH
20191230,600196.SH
20191230,600208.SH
20191230,600219.SH
20191230,600221.SH
20191230,600233.SH
20191230,600271.SH
20191230,600276.SH
20191230,600297.SH
20191230,600299.SH
20191230,600309.SH
20191230,600332.SH
20191230,600340.SH
20191230,600346.SH
20191230,600352.SH
20191230,600362.SH
20191230,600369.SH
20191230,600372.SH
20191230,600383.SH
20191230,600390.SH
20191230,600398.SH
20191230,600406.SH
20191230,600436.SH
20191230,600438.SH
20191230,600482.SH
20191230,600487.SH
20191230,600489.SH
20191230,600498.SH
20191230,600516.SH
20191230,600519.SH
20191230,600522.SH
20191230,600535.SH
20191230,600547.SH
20191230,600566.SH
20191230,600570.SH
20191230,600583.SH
20191230,600585.SH
20191230,600588.SH
20191230,600606.SH
20191230,600637.SH
20191230,600655.SH
20191230,600660.SH
